发震时间(utc+8),经度,纬度,震级(M),震源深度(Km),震中位置,死亡人数,直接经济损（万元）
2016-06-21 00:12:00,105,33.1,5,--,甘肃省武都、文县间,1,7335.15
2014-11-22 00:12:00,101.7,30.3,6.3,18,四川康定县,5,423177
2014-10-07 00:12:00,100.5,23.4,6.6,5,云南景谷,2,748680
2014-08-03 00:12:00,103.3,27.1,6.5,12,云南鲁甸,617,1984900
2014-05-30 00:12:00,97.8,25,6.1,12,云南盈江,0,172659
2014-03-31 00:12:00,86.5,31.4,5.5,10,西藏尼玛,0,0
2014-02-12 00:12:00,82.5,36.1,7.3,12,新疆于田,0,108061
2014-02-11 00:12:00,82.4,36.1,5.4,11,新疆于田,0,0
2014-02-11 00:12:00,89.2,33.8,5.1,--,西藏那曲,0,0
2013-07-22 00:12:00,104.2,34.5,6.6,20,甘肃省岷县漳县,95,2441600
2013-04-20 00:12:00,102.99,30.3,7,--,四川芦山,196,6651400
2012-09-07 00:12:00,103.97,27.51,5.7,14,云南彝良,81,477104
2012-06-30 00:12:00,84.74,43.42,6.6,--,新疆新源,0,199032.1
2012-06-24 00:12:00,100.69,27.71,5.7,--,云南宁蒗,4,77154
2012-06-15 00:12:00,84.22,42.17,5.4,--,新疆轮台,0,4547.01
2011-12-01 00:12:00,77,38.4,5.2,10,新疆莎车,0,4858
2011-11-01 00:12:00,82.45,43.6,5.8,28,新疆尼勒克县与巩留县交界,0,67800
2011-10-16 00:12:00,82.7,44.3,5,4,新疆精河,0,1185
2011-09-15 00:12:00,82.4,36.5,5.5,0,新疆于田,0,0
2011-08-11 00:12:00,77.2,39.9,5.8,8,新疆阿图什,0,18322.19
2011-08-09 00:12:00,98.7,25,5.2,11,云南腾冲,0,14990
2011-07-25 00:12:00,90.36,46,5.2,10,新疆青河,0,3330
2011-06-26 00:12:00,--,--,5.3,--,青海囊谦,0,0
2011-06-20 00:12:00,--,--,5.2,--,云南腾冲,0,0
2011-06-08 00:12:00,88.3,42.95,5.1,--,新疆托克逊,0,9225.17
2011-04-10 00:12:00,100.8,31.28,5.3,7,四川炉霍,0,17858
2011-03-10 00:12:00,97.95,24.65,5.8,10,云南盈江,25,238480
2010-06-10 00:12:00,74.7,39.9,5.1,8,新疆乌恰,0,2408
2010-04-14 00:12:00,96.6,33.2,7.1,--,青海省玉树县,2698,2284741
2010-02-25 00:12:00,101.94,25.42,5.1,16,云南元谋,35,35440
2010-01-31 00:12:00,--,--,--,--,四川遂宁重庆潼南交界,0,0
2009-11-02 00:12:00,100.69,25.94,5,10,云南宾川,0,24530
2009-08-28 00:12:00,95.8,37.6,6.4,--,青海省海西蒙古族藏族自治州,0,11080.97
2009-07-09 00:12:00,101.03,25.6,6.3,10,云南姚安,1,215410
2009-04-22 00:12:00,77.25,40.1,5,7,新疆阿图什,0,2181.75
2009-04-19 00:12:00,78.27,41.27,5.4,7,新疆阿合奇,0,445.28
2009-02-20 00:12:00,78.6,40.8,5.2,6,新疆柯坪,0,9068.36
2009-01-25 00:12:00,80.8,43.3,5,7,新疆察布查尔,0,4612.03
2008-11-10 00:12:00,95.9,37.6,6.3,10,青海省海西蒙古族藏族自治州,0,26611.32
2008-10-06 00:12:00,90.3,29.8,6.6,--,西藏当雄县,10,41137
2008-10-05 00:12:00,--,--,6.8,--,新疆克孜勒苏尔克,0,0
2008-08-30 20:08:00,83.9,42.7,5.3,25,新疆和静,0,0
2008-08-30 16:04:00,101.9,26.2,6.1,10,四川攀枝花,0,0
2008-08-30 00:12:00,101.9,26.2,6.1,--,四川仁和区与会理县交界,41,446187
2008-08-21 00:12:00,97.8,24.9,5.9,7,云南省德宏傣族景颇族自治州盈江,5,130800
2008-06-10 00:12:00,122.36,49.04,5.2,14,内蒙鄂伦春,0,0
2008-05-12 00:12:00,103.4,30.95,8,14,四川汶川县,69227,84510000
2008-04-20 21:09:00,82.7,46,5.1,22,新疆裕民县,0,8584.41
2008-03-30 16:04:00,102,38,5,33,甘肃肃南,0,0
2008-03-21 00:12:00,97.4,24.36,5,11,云南盈江,0,0
2008-03-21 00:12:00,81.36,35.36,7.3,33,新疆玉田,0,0
2007-06-03 00:12:00,101.1,23,6.4,5,云南普洱哈尼族彝族自治县,3,189860
2006-08-25 00:12:00,104.2,28,5.1,7,云南盐津,22,23900
2006-07-01 00:12:00,116.25,38.9,5.1,20,河北文安,0,980.17
2005-11-26 00:12:00,115.7,29.7,5.7,--,江西九江、瑞昌间,13,203759.39
2004-12-26 00:12:00,101.5,24.7,5,--,云南双柏,1,4070
2004-10-19 00:12:00,99,25.1,5,--,云南保山,0,21720
2004-09-07 00:12:00,103.9,34.7,5,--,甘肃岷县、卓尼县,1,6600.189
2004-08-10 00:12:00,103.6,27.2,5.6,--,云南鲁甸,4,33226
2003-12-01 00:12:00,80.1,43.1,6.1,--,新疆维吾尔自治区昭苏县,10,18026
2003-11-15 00:12:00,103.6,27.2,5.1,--,云南鲁甸,4,19190
2003-11-13 00:12:00,103.9,34.7,5.2,--,甘肃岷县-临潭,1,8792
2003-10-25 00:12:00,101.2,38.4,6.1,18,甘肃省民乐、山丹,10,50000
2003-10-16 00:12:00,101.3,26,6.1,5,云南大姚,3,41560
2003-08-16 00:12:00,119.7,43.9,5.9,22,内蒙巴林左旗、阿鲁科尔沁旗间,4,80649
2003-07-21 00:12:00,101.2,26,6.2,6,云南大姚,16,59190
