真实值	预测值
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Wildfire
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Earthquake
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Wildfire
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Wildfire
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Earthquake
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Wildfire
Cyclone	Cyclone
Cyclone	Wildfire
Cyclone	Earthquake
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Wildfire
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Wildfire
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Earthquake
Cyclone	Wildfire
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Wildfire
Cyclone	Wildfire
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Wildfire
Cyclone	Cyclone
Cyclone	Cyclone
Cyclone	Cyclone
